bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
901008,,22,"-23.003075, -43.324346",1690405604000,24.1,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22987.8,296
901011,RIV8A74,40,"-22.986515, -43.365659",1690405393000,59.8,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],23638,1
901018,,51,"-23.000075, -43.356425",1690230262000,48.3,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,95
901012,,52,"-22.966666, -43.396892",1690405598000,4,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],21411.9,39
901014,,52,"-22.911957, -43.400883",1690405557000,47.2,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35739.6,353
901007,,22,"-22.965021, -43.39128",1690405184000,0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21891.7,140
901009,,40,"-22.877817, -43.336422",1690405603000,0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],21019.4,269
901013,,22,"-23.000512, -43.33542",1690405611000,0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],31721.1,275
901010,RJM8G30,22,"-23.000217, -43.342241",1690405598000,0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22985.1,268
901015,,51,"-22.964814, -43.392095",1690403162000,0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],14155.2, 
901047,,0,"-22.964836, -43.391921",1690404070000,0,,,45440.7, 
901017,,22,"-23.006475, -43.312645",1690405600000,0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],25235.8,281
901063,,51,"-22.964872, -43.391312",1690405603000,0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],48950.7, 
901006,RJA9F56,22,"-23.000062, -43.346734",1690405605000,0.4,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],19573.9,269
901005,RJB8E53,22,"-23.000504, -43.337164",1690405606000,49.5,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21850,93
901004,RJQ8J80,22,"-23.000327, -43.341728",1690405595000,1.3,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21628.2,96
902095,,35,"-22.841312, -43.253516",1690402277000,0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.6, 
30504,,25,"-23.000575, -43.385903",1690405611000,49.8,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],53908.2,88
47031,KYW5240,12,"-23.01685, -43.513576",1690405524000,35.8,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],51079.9,287
30533,KWO8120,0,"-22.920235, -43.608082",1690403141000,0,,,52733.1, 
47027,KRR2119,20,"-22.933893, -43.669347",1689714615000,53.7,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,309
86840,KOS9769,13,"-22.919551, -43.607877",1682053295000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8, 
30538,KXE7719,13,"-23.000822, -43.366088",1690405599000,0,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],56138.8, 
13412,KPY9734,0,"-22.965162, -43.391705",1690402624000,0,,,44901, 
50309,KPN6B05,25,"-23.020805, -43.496816",1690402219000,0,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],20262.5, 
12702,KXB8152,25,"-22.919625, -43.608713",1688523108000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],27817.4, 
12706,KXB8938,10,"-22.920521, -43.607432",1680260524000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4060.2, 
47025,KXE8652,13,"-22.919881, -43.607336",1688750329000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38341.5, 
30532,KYL8599,25,"-23.0004, -43.394792",1690405594000,49.5,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],42023.8,91
13423,LSI5976,18,"-23.00986, -43.449398",1690405599000,0,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],41342.7,255
13403,LTF5447,10,"-23.002968, -43.424408",1690405600000,5.1,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],53541.5,254
90002,LMB2D92,20,"-23.000383, -43.393241",1690405600000,59.6,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],56137.4,91
47030,LSQ5263,18,"-23.006368, -43.316087",1690405594000,31.7,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],53994.3,284
30519,LRE9804,20,"-22.9934, -43.597654",1690405603000,7.8,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],51673.7,175
44732,LSG9592,19,"-23.011441, -43.532492",1690405563000,59.3,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],37992.4,113
13409,KPY9733,10,"-22.915786, -43.628365",1682554213000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, 
13424,KRL4069,11,"-22.918868, -43.607517",1690405235000,0,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2305.6,92
90005,KWK6A89,20,"-23.000721, -43.365986",1690405599000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],50115,47
86851,KQO8674,29,"-23.001497, -43.420189",1690405611000,23.8,ida,29 - S. ALLENDE X ALVORADA (PARADOR) [IDA],13028.8,252
86875,KQB4103,18,"-23.00691, -43.312423",1690405599000,6.2,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],13186.7,107
30518,KYL8597,0,"-23.009856, -43.449634",1690405603000,0,,,37278,254
12707,LMI8079,12,"-22.919866, -43.607431",1684569721000,0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],4853.2, 
902090,,35,"-22.929313, -43.373442",1690405612000,1.2,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],15191.1,349
47029,LSQ5267,20,"-23.000306, -43.578841",1690404043000,19.8,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],57164.1,285
A994324,LUN4324,0,"-22.827099, -43.2747866",1690405051000,0,,,47785.674,334
13420,KWI9708,20,"-23.004619, -43.560699",1690405583000,0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],48262.9,306
A999574,LSD9574,0,"-23.0009121, -43.3636843",1648639566000,0,,,24148.286, 
44717,KWW8818,18,"-22.919874, -43.607744",1686020567000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],8226.799, 
12704,LSM8778,20,"-22.920368, -43.607281",1686218434000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21199.9, 
47004,KQK7904,13,"-23.004157, -43.56276",1690405522000,0,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],49744.3,284
27205,LSL9114,18,"-22.919765, -43.608465",1688274121000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],4823.1, 
